Source IP,Source Port,Source Domain,Destination IP,Destination Port,Destination Domain,Protocol
20.189.173.16,443,20.189.173.16,192.168.100.58,59661,192.168.100.58,TCP
192.168.100.58,50394,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.58,59661,192.168.100.58,20.189.173.16,443,20.189.173.16,TCP
192.168.100.58,57308,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.58,63995,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.1,53,192.168.100.1,192.168.100.58,49590,192.168.100.58,UDP
192.168.100.58,51447,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.1,53,192.168.100.1,192.168.100.58,52298,192.168.100.58,UDP
172.217.17.42,443,ams16s29-in-f42.1e100.net,192.168.100.58,58019,192.168.100.58,UDP
142.250.181.142,443,fjr04s09-in-f14.1e100.net,192.168.100.58,58765,192.168.100.58,UDP
192.168.100.1,53,192.168.100.1,192.168.100.58,29674,192.168.100.58,UDP
192.168.100.58,56378,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.58,29674,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.1,53,192.168.100.1,192.168.100.58,7357,192.168.100.58,UDP
192.168.100.58,54477,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
97.153.192.168,0,168.sub-97-153-192.myvzw.com,100.71.0.0,0,100.71.0.0,Other
192.168.100.58,59659,192.168.100.58,140.82.113.21,443,lb-140-82-113-21-iad.github.com,TCP
192.168.100.58,59658,192.168.100.58,13.67.9.5,443,13.67.9.5,TCP
192.168.100.1,53,192.168.100.1,192.168.100.58,58506,192.168.100.58,UDP
140.82.113.21,443,lb-140-82-113-21-iad.github.com,192.168.100.58,59656,192.168.100.58,TCP
192.168.100.58,59657,192.168.100.58,140.82.113.21,443,lb-140-82-113-21-iad.github.com,TCP
192.168.100.58,59656,192.168.100.58,140.82.113.21,443,lb-140-82-113-21-iad.github.com,TCP
172.217.17.42,443,ams16s29-in-f42.1e100.net,192.168.100.58,56502,192.168.100.58,UDP
20.207.73.82,443,20.207.73.82,192.168.100.58,53424,192.168.100.58,TCP
192.168.100.58,53424,192.168.100.58,20.207.73.82,443,20.207.73.82,TCP
192.168.100.58,56761,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.58,65420,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.58,59654,192.168.100.58,104.16.102.112,443,104.16.102.112,TCP
140.82.113.21,443,lb-140-82-113-21-iad.github.com,192.168.100.58,59652,192.168.100.58,TCP
140.82.113.21,443,lb-140-82-113-21-iad.github.com,192.168.100.58,59650,192.168.100.58,TCP
140.82.113.21,443,lb-140-82-113-21-iad.github.com,192.168.100.58,59653,192.168.100.58,TCP
140.82.113.21,443,lb-140-82-113-21-iad.github.com,192.168.100.58,59651,192.168.100.58,TCP
192.168.100.58,52160,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.58,59653,192.168.100.58,140.82.113.21,443,lb-140-82-113-21-iad.github.com,TCP
192.168.100.58,59649,192.168.100.58,140.82.113.21,443,lb-140-82-113-21-iad.github.com,TCP
192.168.100.58,26297,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
140.82.113.21,443,lb-140-82-113-21-iad.github.com,192.168.100.58,59648,192.168.100.58,TCP
192.168.100.58,59647,192.168.100.58,20.207.73.85,443,20.207.73.85,TCP
192.168.100.58,42504,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.58,59645,192.168.100.58,34.192.77.90,443,ec2-34-192-77-90.compute-1.amazonaws.com,TCP
192.168.100.58,64167,192.168.100.58,17.253.60.71,443,sgsin3-edge-get-004.a.aaplimg.com,UDP
192.168.100.1,53,192.168.100.1,192.168.100.58,18927,192.168.100.58,UDP
192.168.100.58,18927,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.58,29400,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.58,29458,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
185.199.111.154,443,cdn-185-199-111-154.github.com,192.168.100.58,59643,192.168.100.58,TCP
192.168.100.58,59643,192.168.100.58,185.199.111.154,443,cdn-185-199-111-154.github.com,TCP
192.168.100.58,8043,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
142.250.181.138,443,fjr04s09-in-f10.1e100.net,192.168.100.58,63142,192.168.100.58,UDP
192.168.100.58,59642,192.168.100.58,185.199.110.133,443,cdn-185-199-110-133.github.com,TCP
192.168.100.58,59641,192.168.100.58,20.207.73.82,443,20.207.73.82,TCP
192.168.100.58,59640,192.168.100.58,20.207.73.85,443,20.207.73.85,TCP
34.192.77.90,443,ec2-34-192-77-90.compute-1.amazonaws.com,192.168.100.58,59639,192.168.100.58,TCP
192.168.100.58,59639,192.168.100.58,34.192.77.90,443,ec2-34-192-77-90.compute-1.amazonaws.com,TCP
192.168.100.58,59638,192.168.100.58,34.192.77.90,443,ec2-34-192-77-90.compute-1.amazonaws.com,TCP
34.192.77.90,443,ec2-34-192-77-90.compute-1.amazonaws.com,192.168.100.58,59637,192.168.100.58,TCP
192.168.100.58,59637,192.168.100.58,34.192.77.90,443,ec2-34-192-77-90.compute-1.amazonaws.com,TCP
192.168.100.1,53,192.168.100.1,192.168.100.58,62668,192.168.100.58,UDP
172.217.19.174,443,zrh04s07-in-f14.1e100.net,192.168.100.58,58421,192.168.100.58,UDP
192.168.100.58,5844,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
172.217.17.42,443,ams16s29-in-f42.1e100.net,192.168.100.58,59636,192.168.100.58,TCP
192.168.100.58,59636,192.168.100.58,172.217.17.42,443,ams16s29-in-f42.1e100.net,TCP
192.168.100.1,53,192.168.100.1,192.168.100.58,25828,192.168.100.58,UDP
192.168.100.58,35632,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.58,25828,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
20.207.73.82,443,20.207.73.82,192.168.100.58,59635,192.168.100.58,TCP
192.168.100.58,64524,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
140.82.113.21,443,lb-140-82-113-21-iad.github.com,192.168.100.58,59634,192.168.100.58,TCP
20.207.73.85,443,20.207.73.85,192.168.100.58,59633,192.168.100.58,TCP
140.82.112.21,443,lb-140-82-112-21-iad.github.com,192.168.100.58,59632,192.168.100.58,TCP
192.168.100.58,59634,192.168.100.58,140.82.113.21,443,lb-140-82-113-21-iad.github.com,TCP
192.168.100.58,59632,192.168.100.58,140.82.112.21,443,lb-140-82-112-21-iad.github.com,TCP
192.168.100.58,59631,192.168.100.58,34.192.77.90,443,ec2-34-192-77-90.compute-1.amazonaws.com,TCP
35.186.224.24,443,24.224.186.35.bc.googleusercontent.com,192.168.100.58,59739,192.168.100.58,UDP
192.168.100.58,59629,192.168.100.58,104.22.15.220,443,104.22.15.220,TCP
185.199.111.154,443,cdn-185-199-111-154.github.com,192.168.100.58,59627,192.168.100.58,TCP
192.168.100.58,59627,192.168.100.58,185.199.111.154,443,cdn-185-199-111-154.github.com,TCP
192.168.100.58,45311,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
172.217.19.170,443,zrh04s07-in-f170.1e100.net,192.168.100.58,58625,192.168.100.58,UDP
172.217.21.42,443,fjr01s02-in-f10.1e100.net,192.168.100.58,53820,192.168.100.58,UDP
192.168.100.58,3406,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.58,53820,192.168.100.58,172.217.21.42,443,fjr01s02-in-f10.1e100.net,UDP
172.217.17.42,443,ams16s29-in-f42.1e100.net,192.168.100.58,59623,192.168.100.58,TCP
172.217.19.227,443,par21s11-in-f3.1e100.net,192.168.100.58,64000,192.168.100.58,UDP
20.207.73.82,443,20.207.73.82,192.168.100.58,59622,192.168.100.58,TCP
3.233.158.25,443,ec2-3-233-158-25.compute-1.amazonaws.com,192.168.100.58,59620,192.168.100.58,TCP
172.217.17.42,443,ams16s29-in-f42.1e100.net,192.168.100.58,59619,192.168.100.58,TCP
192.168.100.58,59618,192.168.100.58,20.207.73.82,443,20.207.73.82,TCP
20.207.73.82,443,20.207.73.82,192.168.100.58,59617,192.168.100.58,TCP
192.168.100.58,59616,192.168.100.58,162.247.243.29,443,162.247.243.29,TCP
20.189.172.33,443,20.189.172.33,192.168.100.58,59615,192.168.100.58,TCP
192.168.100.58,59615,192.168.100.58,20.189.172.33,443,20.189.172.33,TCP
192.168.100.58,59561,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
20.207.73.85,443,20.207.73.85,192.168.100.58,59614,192.168.100.58,TCP
192.168.100.58,59614,192.168.100.58,20.207.73.85,443,20.207.73.85,TCP
13.107.5.93,443,13.107.5.93,192.168.100.58,59612,192.168.100.58,TCP
172.217.19.195,443,ams16s31-in-f3.1e100.net,192.168.100.58,59610,192.168.100.58,TCP
192.168.100.58,59611,192.168.100.58,104.16.102.112,443,104.16.102.112,TCP
13.107.5.93,443,13.107.5.93,192.168.100.58,59609,192.168.100.58,TCP
13.107.5.93,443,13.107.5.93,192.168.100.58,59607,192.168.100.58,TCP
192.168.100.58,59606,192.168.100.58,13.107.5.93,443,13.107.5.93,TCP
192.168.100.1,53,192.168.100.1,192.168.100.58,54033,192.168.100.58,UDP
192.168.100.1,53,192.168.100.1,192.168.100.58,63554,192.168.100.58,UDP
192.168.100.58,63554,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.58,59644,192.168.100.58,185.199.111.154,443,cdn-185-199-111-154.github.com,TCP
192.168.100.1,53,192.168.100.1,192.168.100.58,56843,192.168.100.58,UDP
140.82.112.21,443,lb-140-82-112-21-iad.github.com,192.168.100.58,59605,192.168.100.58,TCP
192.168.100.1,53,192.168.100.1,192.168.100.58,7298,192.168.100.58,UDP
192.168.100.58,53963,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.58,7298,192.168.100.58,192.168.100.1,53,192.168.100.1,UDP
192.168.100.58,59605,192.168.100.58,140.82.112.21,443,lb-140-82-112-21-iad.github.com,TCP
140.82.112.21,443,lb-140-82-112-21-iad.github.com,192.168.100.58,59601,192.168.100.58,TCP
34.192.77.90,443,ec2-34-192-77-90.compute-1.amazonaws.com,192.168.100.58,59600,192.168.100.58,TCP
